Year,Company,Region,Service_Type,Revenue,Operating_Cost,Profit,Subscribers_Millions,Churn_Rate,ARPU,Market_Share_%,EBITDA_Margin_%
2016,Telecom_A,East,Prepaid,29900,19111.08,10788.92,14.67,10.97,0.002038,39.01,36.08
2017,Telecom_A,South,Prepaid,32882,22741.67,10140.33,16.47,11.01,0.001997,39.01,30.84
2018,Telecom_A,West,Prepaid,35151,19338.52,15812.48,18.05,14.39,0.001947,39.01,44.98
2019,Telecom_A,North,Prepaid,37835,24077.78,13757.22,19.01,10.25,0.00199,39.01,36.36
2020,Telecom_A,East,Postpaid,40417,30100.61,10316.39,20.11,5.47,0.00201,39.01,25.52
2021,Telecom_A,North,Prepaid,42479,27328.97,15150.03,21.18,14.83,0.002005,39.01,35.66
2022,Telecom_A,West,Postpaid,44625,33012.55,11612.45,21.94,5.65,0.002034,39.01,26.02
2016,Telecom_B,West,Prepaid,31296,21030.89,10265.11,19.86,11.83,0.001576,26.09,32.8
2017,Telecom_B,South,Postpaid,32830,22406.62,10423.38,21.73,7.59,0.001511,26.09,31.75
2018,Telecom_B,West,Postpaid,35459,25475.77,9983.23,23.08,5.31,0.001537,26.09,28.15
2019,Telecom_B,West,Postpaid,37160,27289.37,9870.63,24.92,10.98,0.001491,26.09,26.56
2020,Telecom_B,South,Prepaid,39935,25068.62,14866.38,25.49,8.25,0.001567,26.09,37.23
2021,Telecom_B,North,Prepaid,42511,28542.18,13968.82,26.87,14.65,0.001582,26.09,32.86
2022,Telecom_B,West,Prepaid,45191,33774.73,11416.27,28.57,5.75,0.001582,26.09,25.26
2016,Telecom_C,East,Prepaid,24689,17480.68,7208.32,17.8,12.11,0.001387,20.11,29.2
2017,Telecom_C,West,Postpaid,28467,20496.46,7970.54,19.27,14.15,0.001477,20.11,28.0
2018,Telecom_C,West,Postpaid,30469,21204.02,9264.98,20.24,8.25,0.001505,20.11,30.41
2019,Telecom_C,North,Prepaid,33539,23230.75,10308.25,21.45,6.2,0.001564,20.11,30.74
2020,Telecom_C,East,Postpaid,35541,23263.24,12277.76,23.11,9.94,0.001538,20.11,34.55
2021,Telecom_C,North,Postpaid,38525,24851.48,13673.52,23.91,13.96,0.001611,20.11,35.49
2022,Telecom_C,East,Prepaid,41948,26514.35,15433.65,25.77,7.49,0.001628,20.11,36.79
